// Ideia 1 = Saida da primeira é entrada da segunda (tempo de execução alto)
// Ideia 2 = Calculo do offense na layer intermediaria, e junto com as entradas originais, calculo do poder do tiro (controle/entrada do offense)
// Ideia 3 = Duas saidas, 1 = Offense, 2 = Power (Utilizada)

0.99,		0.72,		0.98,		0
0.75,		0.55,		0.9,		0
0.61,		0.49,		0.71,		1
0.5,		0.38,		0.48,		1
0.39,		0.48,		0.18,		1

0.99,		0.23,		1,			1
0.78,		0.44,		0.92,		1
0.67,		0.37,		0.76,		1

0.99,		0.34,		1,			1
0.88,		0.66,		0.84,		1
0.69,		0.19,		0.65,		1
0.53,		0.11,		0.36,		1

0.99,		0.31,		1,			1
1.01,		0.2,		0.93,		1
0.85,		0.14,		1.02,		1
0.67,		0.38,		1.04,		1
0.5,		0.38,		1.06,		1
0.39,		0.47,		0.97,		0
0.24,		0.28,		0.99,		1
0.12,		0.05,		0.78,		1
0.01,		0.43,		0.33,		0

0.99,		0.31,		1,			1
0.77,		0.3,		0.71,		1
0.66,		0.33,		0.58,		1
0.55,		0.47,		0.42,		1
0.38,		0.55,		0.3,		1
0.27,		0.42,		0.07,		1

0.99,		0.36,		1,			1
1.01,		0.23,		0.93,		1
0.82,		0.39,		0.74,		1
0.65,		0.07,		0.66,		1
0.5,		0.09,		0.68,		1
0.33,		0.22,		0.7,		1
0.1,		0.31,		0.31,		1

0.99,		0.38,		1,			1
0.83,		0.05,		0.94,		1
0.63,		0.04,		0.46,		1
0.46,		0.06,		0.37,		1
0.27,		0.28,		0.36,		1
0.13,		0.07,		0.38,		1

0.99,		0.47,		1,			1
1.01,		0.26,		0.93,		1

0.99,		0.33,		0.98,		1
0.74,		0.15,		0.91,		1
0.63,		0.41,		0.31,		1

0.99,		0.55,		0.98,		1
